id,date,item,sales
0,2013-01-01,1,44
1,2013-01-02,1,35
2,2013-01-03,1,40
3,2013-01-04,1,48
4,2013-01-05,1,48
5,2013-01-06,1,52
6,2013-01-07,1,29
7,2013-01-08,1,35
8,2013-01-09,1,37
9,2013-01-10,1,26
10,2013-01-11,1,43
11,2013-01-12,1,45
12,2013-01-13,1,54
13,2013-01-14,1,35
14,2013-01-15,1,36
15,2013-01-16,1,34
16,2013-01-17,1,48
17,2013-01-18,1,38
18,2013-01-19,1,55
19,2013-01-20,1,57
20,2013-01-21,1,35
21,2013-01-22,1,31
22,2013-01-23,1,45
23,2013-01-24,1,34
24,2013-01-25,1,50
25,2013-01-26,1,40
26,2013-01-27,1,37
27,2013-01-28,1,31
28,2013-01-29,1,44
29,2013-01-30,1,35
30,2013-01-31,1,46
31,2013-02-01,1,48
32,2013-02-02,1,65
33,2013-02-03,1,47
34,2013-02-04,1,42
35,2013-02-05,1,42
36,2013-02-06,1,37
37,2013-02-07,1,42
38,2013-02-08,1,32
39,2013-02-09,1,49
40,2013-02-10,1,38
41,2013-02-11,1,40
42,2013-02-12,1,39
43,2013-02-13,1,45
44,2013-02-14,1,36
45,2013-02-15,1,42
46,2013-02-16,1,47
47,2013-02-17,1,57
48,2013-02-18,1,33
49,2013-02-19,1,36
50,2013-02-20,1,40
51,2013-02-21,1,41
52,2013-02-22,1,50
53,2013-02-23,1,50
54,2013-02-24,1,55
55,2013-02-25,1,41
56,2013-02-26,1,38
57,2013-02-27,1,37
58,2013-02-28,1,54
59,2013-03-01,1,57
60,2013-03-02,1,55
61,2013-03-03,1,70
62,2013-03-04,1,56
63,2013-03-05,1,48
64,2013-03-06,1,57
65,2013-03-07,1,49
66,2013-03-08,1,61
67,2013-03-09,1,66
68,2013-03-10,1,64
69,2013-03-11,1,51
70,2013-03-12,1,53
71,2013-03-13,1,56
72,2013-03-14,1,49
73,2013-03-15,1,46
74,2013-03-16,1,54
75,2013-03-17,1,65
76,2013-03-18,1,34
77,2013-03-19,1,52
78,2013-03-20,1,47
79,2013-03-21,1,57
